SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
2,2,1,3,3,5,3,5,2,3,.458779592910883,26
2,3,1,4,4,1,4,1,4,2,2.89311668774523,26
2,5,1,3,3,2,2,2,2,4,1.40689189043164,26
2,5,1,4,4,1,1,1,1,4,1.20660542181705,26
1,2,3,1,2,3,3,3,2,1,.994856054425673,26
1,2,4,2,2,2,4,2,1,1,2.78317420302727,26
2,2,2,4,4,1,1,1,3,1,2.89311668774523,26
1,2,2,4,4,1,2,3,3,3,1.1027665273001,26
1,2,2,3,4,1,3,2,4,2,1.48274109421842,26
1,2,2,4,5,2,2,2,5,2,2.90777333219425,26
1,2,2,2,3,3,3,5,2,3,2.96592139117759,26
1,2,2,2,3,2,1,3,3,3,1.2336028392781,26
1,2,3,2,1,3,2,2,2,3,.751937170427744,26
1,2,3,4,3,1,1,1,5,3,1.5067973607779,26
1,2,3,2,2,5,2,2,2,2,.892266138996047,26
1,2,3,3,3,2,3,2,2,2,.932037396905877,26
1,2,3,4,3,2,3,2,2,2,.541967725292504,26
2,2,3,4,2,2,3,2,2,3,.844859346617366,26
1,2,3,3,5,2,3,2,2,2,1.93687522278516,26
1,2,3,2,2,3,3,2,1,3,.526837738959837,26
1,2,3,3,4,2,1,2,2,2,1.41056242347627,26
2,2,2,4,4,1,4,1,4,4,1.09825722171039,26
1,5,1,4,4,1,3,2,4,4,3.00278655832762,26
1,2,3,3,2,3,3,4,2,1,1.57310943377915,26
1,2,3,3,2,2,2,2,2,2,.76104275858666,26
1,2,3,5,5,5,5,5,5,5,1.57310943377915,26
2,2,3,4,4,1,3,1,3,4,.303089728230721,26
2,2,3,3,2,2,1,2,3,2,.307294709494307,26
2,5,1,4,3,1,3,4,4,4,1.02776474450546,26
1,3,2,3,3,1,2,2,3,3,1.09244726533177,26
1,2,4,3,2,2,2,3,2,2,1.36382427688537,26
1,2,4,3,2,2,2,2,2,2,1.36382427688537,26
2,3,1,4,3,1,2,2,3,3,2.17399133207519,26
2,3,1,3,3,2,2,3,3,2,1.43646615907467,26
1,2,3,3,3,3,4,3,2,2,.930184844743713,26
1,2,3,5,5,5,5,5,2,2,2.23959362697444,26
2,2,3,3,2,1,3,2,3,3,1.17400966924758,26
2,2,3,3,4,3,2,3,3,4,.942040913117078,26
2,2,3,4,3,1,2,3,4,4,2.10305710168261,26
1,2,3,5,3,1,4,1,2,2,.852306957763077,26
2,2,3,4,4,1,2,1,4,4,2.80953148093047,26
2,2,3,5,4,1,2,1,5,2,2.82978739413048,26
2,2,3,4,4,2,3,1,3,2,1.0972533105362,26
1,5,1,3,2,2,3,3,1,2,2.15503214085621,26
1,3,2,3,3,1,1,2,3,2,.917123005362688,26
2,2,2,4,1,2,2,5,2,1,1.15294442568202,26
2,2,3,2,3,2,3,2,2,2,.87083071863343,26
1,2,4,2,2,3,3,3,3,2,2.68161122962679,26
1,2,3,3,3,1,4,2,2,1,.928193444816881,26
1,2,3,1,2,3,3,3,1,2,.758459698683744,26
2,2,2,4,4,1,1,3,4,4,.305938325744946,26
2,2,2,4,3,2,3,1,2,4,3.00278655832762,26
2,2,2,3,5,2,2,5,5,5,1.49005844909684,26
2,2,2,2,2,3,4,3,1,5,1.07981375019822,26
2,2,3,3,3,2,2,1,2,3,.955815112661075,26
2,2,3,3,5,3,2,2,2,2,2.11178036589788,26
1,2,3,3,2,2,4,3,2,2,1.22339515916481,26
1,3,2,4,2,3,4,2,2,2,2.23215700917061,26
2,2,3,2,2,1,2,2,2,2,1.80252661574245,26
2,5,1,4,2,2,2,2,4,4,.436210012492357,26
1,2,3,3,2,3,3,2,2,2,1.19903098854362,26
2,3,1,4,5,1,3,1,2,4,3.00278655832762,26
1,2,3,3,3,5,4,3,1,2,.84166704981606,26
2,2,3,4,2,1,2,1,3,3,1.17969139228543,26
2,2,3,2,2,2,1,3,2,2,1.69541154688455,26
1,2,3,3,2,3,3,2,2,2,.683064823882883,26
1,2,3,4,4,1,2,2,3,4,1.70627060973411,26
1,2,3,3,2,2,3,2,2,1,1.11251805710088,26
1,2,3,3,2,2,4,2,2,1,1.11251805710088,26
2,2,3,3,3,5,2,2,3,2,.362153365470229,26
1,2,4,1,2,3,4,4,1,2,.888129812343953,26
2,2,3,4,3,1,1,2,2,3,.735914563099575,26
2,2,3,4,4,1,4,2,1,1,.30202838844227,26
1,3,2,4,3,2,3,2,3,3,.670070537023472,26
1,3,2,4,2,2,3,1,2,3,.656350153333175,26
2,3,2,4,4,1,2,2,3,3,1.66928170183098,26
1,2,4,4,2,1,4,1,3,1,2.14217332266837,26
1,2,4,4,3,1,5,1,4,3,1.10552402213058,26
2,2,4,4,5,2,3,5,4,3,1.64735182357854,26
2,2,4,4,2,1,3,2,2,2,1.19380092209967,26
2,2,4,2,2,2,3,3,2,2,1.4349007874762,26
2,2,3,3,4,1,2,2,5,5,.301474557397609,26
1,2,4,2,5,5,3,5,2,3,.955372643331239,26
2,2,3,4,2,1,2,2,2,1,.895405034317546,26
2,2,3,5,2,2,2,1,2,2,2.80392062358188,26
2,5,1,4,5,2,2,1,5,3,3.00278655832762,26
1,3,2,4,2,1,1,2,3,2,2.59658089874246,26
2,3,2,2,3,2,2,3,2,5,.898034177949119,26
2,2,3,3,3,2,2,2,2,3,.779943613784275,26
2,2,3,3,3,2,2,2,3,3,1.43366636755934,26
2,2,4,3,5,2,5,1,3,5,.38987535312326,26
1,2,4,2,2,3,4,3,1,2,2.52376138980884,26
1,2,4,3,3,3,4,2,2,2,1.04510508345561,26
2,2,3,3,3,2,2,2,2,4,.723002604313005,26
1,2,4,2,5,5,5,3,2,5,1.83960540193759,26
2,5,1,5,5,5,5,5,5,5,.951363879246047,26
1,3,2,4,3,1,2,1,3,3,1.42773523689373,26
1,3,2,4,3,1,1,2,4,2,.9307197505375,26
1,2,4,4,4,1,2,1,4,4,3.00278655832762,26
2,2,2,4,3,2,3,2,4,3,.305938325744946,26
1,2,4,3,2,2,3,2,3,3,1.08921449004042,26
2,5,1,4,5,5,3,5,2,5,3.00278655832762,26
2,5,1,4,3,5,1,1,3,3,3.00278655832762,26
2,5,1,3,3,2,1,3,3,4,.406403454709083,26
1,4,1,3,2,1,3,1,2,3,.93141926338508,26
2,5,1,3,2,5,5,5,2,5,3.00278655832762,26
2,3,1,3,3,2,3,1,2,3,3.00278655832762,26
1,3,2,2,1,1,1,1,3,3,2.90777333219425,26
2,2,3,3,3,2,2,2,3,3,.597909445099115,26
2,2,3,3,3,2,2,2,3,3,1.62951842917446,26
2,2,3,3,3,2,4,2,2,2,2.35162946755524,26
2,5,1,4,5,5,1,2,4,4,2.4059239011989,26
1,2,4,2,1,2,3,2,2,2,.588763460827772,26
